選手名,出場数,得点数,初出場,最終出場,ポジション
下村幸男,1,0,1955/10/9,1955/10/9,GK
徳弘隆,1,0,1955/10/9,1955/10/9,FW
青木要三,1,0,1955/1/5,1955/1/5,DF
岩淵功,8,2,1955/1/5,1958/5/28,FW
福原黎三,2,0,1955/1/5,1955/10/9,FW
生駒友彦,5,0,1955/1/2,1955/10/9,GK
佐藤弘明,15,0,1955/1/2,1959/1/11,DF
高森泰男,30,0,1955/1/2,1963/8/15,DF
三村恪一,4,0,1955/1/2,1955/1/11,DF
内野正雄,18,3,1955/1/2,1962/9/12,FW
岡野俊一郎,2,0,1955/1/2,1955/1/11,FW
岡本久敬,5,0,1955/1/2,1955/10/9,FW
田中雍和,4,0,1955/1/2,1955/1/11,FW
渡部英麿,2,0,1954/3/14,1954/5/3,GK
平木隆三,30,1,1954/3/14,1962/9/12,DF
松永信夫,4,0,1954/3/14,1955/10/9,DF
高林隆,9,2,1954/3/14,1958/5/28,MF
